epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,827.953,0.39097,0.35676,0.89418,0.9986,1,0.995,0.93437,0.34717,0.2648,0.86191,0.000777694,0.000777694,0.000777694
112,835.307,0.37799,0.37515,0.87436,0.99873,1,0.995,0.9462,0.32737,0.2559,0.85184,0.000773975,0.000773975,0.000773975
113,842.79,0.36599,0.34871,0.86081,0.99872,1,0.995,0.94412,0.32793,0.27879,0.84944,0.000770234,0.000770234,0.000770234
114,849.722,0.35141,0.31095,0.85927,0.99862,1,0.995,0.9612,0.31243,0.27214,0.84817,0.000766472,0.000766472,0.000766472
115,857.396,0.36452,0.35752,0.8616,0.99871,1,0.995,0.93485,0.33965,0.26548,0.86246,0.000762689,0.000762689,0.000762689
116,863.634,0.35614,0.32599,0.88031,0.99871,1,0.995,0.94698,0.34202,0.25762,0.86312,0.000758885,0.000758885,0.000758885
117,871.866,0.35865,0.34204,0.87903,0.99872,1,0.995,0.95282,0.32728,0.25421,0.85864,0.000755061,0.000755061,0.000755061
118,879.507,0.37049,0.34737,0.89534,0.99873,1,0.995,0.94568,0.32778,0.26122,0.85864,0.000751216,0.000751216,0.000751216
119,887.292,0.35568,0.33832,0.86573,0.99868,1,0.995,0.94563,0.33525,0.27191,0.85873,0.000747352,0.000747352,0.000747352
120,894.2,0.36656,0.33408,0.88813,0.99876,1,0.995,0.9444,0.32863,0.25761,0.85464,0.000743468,0.000743468,0.000743468
121,903.054,0.35876,0.32713,0.88562,0.99883,1,0.995,0.94138,0.32751,0.25692,0.86246,0.000739565,0.000739565,0.000739565
122,909.801,0.34156,0.33157,0.86186,0.99882,1,0.995,0.95259,0.30973,0.25222,0.85894,0.000735643,0.000735643,0.000735643
123,917.866,0.35257,0.33418,0.87896,0.99888,1,0.995,0.96138,0.28998,0.23549,0.845,0.000731702,0.000731702,0.000731702
124,924.53,0.32897,0.32392,0.87671,0.99864,1,0.995,0.97128,0.30589,0.24865,0.84446,0.000727744,0.000727744,0.000727744
125,933.381,0.36506,0.36188,0.90186,0.99861,1,0.995,0.95375,0.30739,0.25418,0.85379,0.000723767,0.000723767,0.000723767
126,940.085,0.32575,0.30624,0.86183,0.99807,1,0.995,0.96014,0.30603,0.25448,0.84811,0.000719772,0.000719772,0.000719772
127,948.412,0.34039,0.30296,0.87032,0.99678,1,0.995,0.96448,0.2988,0.24932,0.84223,0.000715761,0.000715761,0.000715761
128,955.02,0.32691,0.30005,0.85651,0.99876,1,0.995,0.96634,0.30766,0.2534,0.84497,0.000711732,0.000711732,0.000711732
129,964.077,0.34934,0.32937,0.88834,0.99863,1,0.995,0.96498,0.30596,0.25854,0.84164,0.000707687,0.000707687,0.000707687
130,969.959,0.36483,0.32988,0.88183,0.99871,1,0.995,0.97176,0.29215,0.2463,0.83734,0.000703625,0.000703625,0.000703625
131,979.232,0.33118,0.31697,0.86909,0.99884,1,0.995,0.9621,0.2961,0.23914,0.83392,0.000699547,0.000699547,0.000699547
132,986.376,0.34768,0.30968,0.86334,0.99867,1,0.995,0.96864,0.29701,0.23727,0.83288,0.000695454,0.000695454,0.000695454
133,994.958,0.33869,0.312,0.84855,0.99854,1,0.995,0.96939,0.30223,0.23212,0.83434,0.000691345,0.000691345,0.000691345
134,1001.06,0.33137,0.31084,0.86556,0.99866,1,0.995,0.97733,0.28512,0.22812,0.82993,0.000687222,0.000687222,0.000687222
135,1010.05,0.35081,0.30411,0.88815,0.99794,1,0.995,0.97155,0.28076,0.2313,0.82478,0.000683083,0.000683083,0.000683083
136,1016.77,0.32359,0.29694,0.86509,0.99841,1,0.995,0.95714,0.31361,0.25061,0.84546,0.000678931,0.000678931,0.000678931
137,1024.55,0.34296,0.31281,0.88064,0.99883,1,0.995,0.95334,0.32382,0.25696,0.85237,0.000674764,0.000674764,0.000674764
138,1031.53,0.31958,0.28992,0.84414,0.9988,1,0.995,0.95833,0.31339,0.24779,0.84937,0.000670583,0.000670583,0.000670583
139,1039.95,0.33482,0.30493,0.85628,0.99875,1,0.995,0.96515,0.30644,0.23124,0.84636,0.00066639,0.00066639,0.00066639
140,1046.09,0.31543,0.31286,0.8519,0.99876,1,0.995,0.97152,0.28598,0.23147,0.83601,0.000662183,0.000662183,0.000662183
141,1054.39,0.31165,0.29258,0.87517,0.99883,1,0.995,0.97065,0.27869,0.22823,0.83907,0.000657963,0.000657963,0.000657963
142,1061.69,0.34115,0.32206,0.88735,0.99879,1,0.995,0.96545,0.29372,0.231,0.8459,0.000653732,0.000653732,0.000653732
143,1069.7,0.34144,0.31223,0.86631,0.99868,1,0.995,0.96461,0.2897,0.22091,0.84005,0.000649488,0.000649488,0.000649488
144,1076.8,0.325,0.29812,0.87491,0.99875,1,0.995,0.96283,0.29838,0.2331,0.84137,0.000645233,0.000645233,0.000645233
145,1084.61,0.34017,0.30462,0.87113,0.99874,1,0.995,0.9598,0.29442,0.24089,0.84118,0.000640966,0.000640966,0.000640966
146,1091.09,0.31047,0.2917,0.85554,0.99865,1,0.995,0.96708,0.28076,0.23453,0.8356,0.000636688,0.000636688,0.000636688
