epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,1238.92,0.3331,0.29142,0.84998,0.9986,1,0.995,0.96777,0.29264,0.22578,0.84225,0.000691345,0.000691345,0.000691345
134,1248.32,0.3207,0.31113,0.86527,0.99803,1,0.995,0.95897,0.30475,0.23127,0.84365,0.000687222,0.000687222,0.000687222
135,1256.94,0.34175,0.29383,0.88907,0.99834,1,0.995,0.96128,0.31378,0.22991,0.84524,0.000683083,0.000683083,0.000683083
136,1266.18,0.31397,0.29074,0.86513,0.99734,1,0.995,0.96106,0.31961,0.25053,0.84871,0.000678931,0.000678931,0.000678931
137,1276.17,0.32807,0.31607,0.87617,0.99673,1,0.995,0.95925,0.31696,0.2309,0.85111,0.000674764,0.000674764,0.000674764
138,1285.6,0.33336,0.29469,0.85531,0.99747,1,0.995,0.96178,0.3063,0.23129,0.84634,0.000670583,0.000670583,0.000670583
139,1295.51,0.33447,0.29609,0.8775,0.99851,1,0.995,0.96093,0.3072,0.22327,0.84739,0.00066639,0.00066639,0.00066639
140,1303.92,0.31571,0.29157,0.85474,0.99801,1,0.995,0.95463,0.31377,0.24097,0.85,0.000662183,0.000662183,0.000662183
141,1314.21,0.33029,0.30119,0.88571,0.99822,1,0.995,0.96269,0.31215,0.23066,0.84916,0.000657963,0.000657963,0.000657963
142,1323.27,0.3321,0.30983,0.88871,0.99883,1,0.995,0.97129,0.2858,0.21692,0.83799,0.000653732,0.000653732,0.000653732
143,1332.01,0.33985,0.28426,0.86463,0.99885,1,0.995,0.96997,0.29177,0.22513,0.83362,0.000649488,0.000649488,0.000649488
144,1343.02,0.31275,0.28269,0.86731,0.99882,1,0.995,0.95403,0.32222,0.23097,0.84193,0.000645233,0.000645233,0.000645233
145,1351.65,0.3576,0.3146,0.87183,0.9988,1,0.995,0.9511,0.34371,0.23484,0.84677,0.000640966,0.000640966,0.000640966
146,1360.64,0.31264,0.3043,0.84962,0.99612,1,0.995,0.95019,0.32617,0.25824,0.84097,0.000636688,0.000636688,0.000636688
147,1368.48,0.34843,0.29914,0.87382,0.99879,1,0.995,0.96839,0.31697,0.23442,0.8371,0.0006324,0.0006324,0.0006324
148,1377.25,0.31925,0.28998,0.84374,0.99888,1,0.995,0.94538,0.3163,0.22966,0.83488,0.000628101,0.000628101,0.000628101
149,1386.41,0.33395,0.29262,0.86499,0.99875,1,0.995,0.94623,0.31699,0.22911,0.83549,0.000623793,0.000623793,0.000623793
150,1395.11,0.31009,0.27231,0.84283,0.99885,1,0.995,0.97133,0.29312,0.21753,0.82774,0.000619475,0.000619475,0.000619475
151,1404.22,0.32428,0.28047,0.86344,0.9988,1,0.995,0.9713,0.29585,0.21999,0.82957,0.000615148,0.000615148,0.000615148
152,1415.1,0.31167,0.28051,0.85324,0.99887,1,0.995,0.96032,0.31237,0.22563,0.84069,0.000610812,0.000610812,0.000610812
153,1423.56,0.34853,0.28647,0.87406,0.99884,1,0.995,0.95773,0.31869,0.23015,0.84481,0.000606467,0.000606467,0.000606467
